student_id,mental_health_rating,exam_anxiety_score,stress_level,sleep_hours,diet_quality,exercise_frequency,exam_score,Pass_Fail
101087,4.5,10,5.2,4.8,Good,1,82,1
101097,7.5,10,4.2,8.4,Fair,3,99,1
101099,6.2,10,5.6,6.6,Good,7,82,1
101105,4.4,8,5.1,5.3,Good,3,100,1
101111,3.9,10,5.8,6.0,Good,5,95,1
101120,7.9,7,3.1,9.8,Good,4,80,1
101122,3.8,9,4.6,7.5,Fair,6,97,1
101126,5.6,9,5.1,6.9,Good,6,83,1
101137,9.7,6,6.4,7.2,Good,6,93,1
101138,10.0,7,1.0,5.0,Fair,7,93,1
101142,5.3,6,4.6,7.3,Poor,0,96,1
101144,9.6,10,3.4,8.4,Poor,2,74,1
101152,6.1,10,3.0,6.5,Good,0,100,1
101156,4.2,7,4.0,4.6,Fair,7,89,1
101166,7.0,10,7.9,7.7,Poor,2,60,1
101170,5.8,10,6.7,8.4,Fair,7,95,1
101171,9.3,9,5.1,8.1,Good,0,70,1
101172,7.6,10,7.7,8.4,Good,5,78,1
101178,5.5,7,3.7,4.7,Good,7,87,1
101182,10.0,8,4.1,9.0,Fair,4,77,1
101186,6.6,10,1.9,8.6,Fair,7,100,1
101192,8.0,8,3.1,8.2,Good,0,85,1
101210,4.0,10,3.9,8.0,Fair,7,98,1
101213,8.8,10,7.1,6.1,Fair,0,81,1
101217,10.0,10,5.1,7.3,Good,7,95,1
101220,7.2,10,6.3,7.9,Poor,4,71,1
101228,2.5,6,2.0,7.3,Fair,7,92,1
101231,5.6,10,7.4,9.3,Fair,1,92,1
101236,7.6,10,5.3,9.0,Poor,6,100,1
101241,7.9,10,5.9,9.8,Good,0,79,1
101248,9.6,10,4.9,7.5,Good,3,92,1
101249,8.2,8,1.4,7.0,Good,5,99,1
101264,8.0,6,2.5,4.8,Poor,7,100,1
101273,1.0,10,7.3,6.2,Fair,5,100,1
101280,7.8,7,4.8,7.3,Fair,7,84,1
101295,6.1,10,7.8,9.7,Good,4,100,1
101304,4.1,6,1.0,6.5,Good,7,93,1
101307,7.8,10,6.4,4.5,Good,3,79,1
101316,8.7,6,1.6,7.8,Fair,7,91,1
101326,5.4,8,1.0,5.7,Good,7,75,1
101340,9.5,8,6.6,8.0,Good,1,99,1
101341,9.9,10,3.0,7.0,Fair,2,72,1
101344,6.9,7,7.9,8.8,Fair,3,97,1
101346,5.0,9,6.9,7.9,Good,3,95,1
101347,6.6,10,3.5,5.7,Poor,0,95,1
101352,6.0,10,1.0,7.5,Poor,1,94,1
101353,5.6,8,3.8,7.4,Fair,2,72,1
101359,7.1,6,3.8,5.0,Good,5,86,1
101360,6.4,10,5.0,5.8,Fair,0,67,1
101362,7.9,6,4.7,10.1,Good,3,98,1
101386,7.2,10,5.4,9.8,Good,7,69,1
101397,6.6,7,6.2,7.5,Fair,1,81,1
101400,6.2,7,5.5,8.6,Poor,2,94,1
101403,10.0,10,4.8,7.5,Good,5,68,1
101409,5.3,10,2.0,8.4,Fair,2,100,1
101416,6.8,5,5.6,4.3,Poor,3,100,1
101423,6.8,5,6.7,10.7,Good,0,71,1
101426,2.4,5,9.9,10.8,Good,0,81,1
101430,7.1,10,3.2,7.1,Good,5,100,1
101442,10.0,10,5.8,5.3,Fair,1,76,1
101443,4.8,10,5.6,5.7,Good,7,91,1
101445,10.0,10,3.8,6.3,Good,0,87,1
101448,7.0,8,5.4,7.8,Poor,2,100,1
101450,9.1,10,4.0,9.2,Fair,7,100,1
101452,10.0,10,8.2,6.8,Fair,1,77,1
101458,4.7,9,4.0,5.5,Fair,2,83,1
101461,7.3,10,2.5,7.0,Poor,5,67,1
101466,8.4,9,5.1,7.0,Good,4,78,1
101468,5.7,10,4.7,4.0,Fair,4,75,1
101490,5.0,8,5.0,8.3,Poor,2,85,1
101491,8.2,9,2.5,4.4,Fair,3,100,1
101494,7.6,8,5.3,7.9,Fair,5,99,1
101497,9.7,9,2.1,5.6,Good,7,91,1
101514,3.6,10,4.5,7.2,Fair,3,73,1
101526,7.0,10,7.5,10.2,Poor,0,76,1
101530,4.1,10,1.5,4.6,Good,6,78,1
101540,6.1,5,3.1,6.3,Good,6,99,1
101545,5.9,9,5.9,5.9,Good,3,58,0
101552,2.0,10,3.0,6.6,Good,3,100,1
101557,7.8,8,1.8,6.5,Good,4,100,1
101560,6.8,6,5.1,6.3,Good,7,99,1
101562,8.1,9,5.6,4.0,Good,6,100,1
101563,6.3,7,6.2,7.2,Poor,1,96,1
101567,6.2,10,4.0,9.1,Good,5,100,1
101569,6.9,10,4.6,9.2,Poor,3,100,1
101586,2.3,6,3.2,9.3,Fair,6,97,1
101596,5.7,5,2.5,7.8,Poor,3,100,1
101612,6.7,9,1.9,5.3,Fair,3,100,1
101617,5.8,10,5.3,7.1,Fair,6,72,1
101646,5.3,10,6.2,5.6,Good,7,96,1
101649,2.9,8,10.0,7.7,Good,5,92,1
101652,7.6,8,4.9,4.9,Poor,0,85,1
101662,8.9,9,4.2,6.4,Fair,6,100,1
101670,9.3,10,4.2,6.1,Fair,3,90,1
101678,8.3,6,3.0,8.7,Fair,7,97,1
101679,7.7,10,5.8,6.4,Fair,3,100,1
101694,6.2,8,1.8,8.5,Poor,6,100,1
101696,6.7,10,8.4,7.0,Good,5,75,1
101707,8.3,10,4.8,10.1,Fair,6,93,1
101714,5.8,9,7.3,5.8,Poor,7,100,1
101715,8.9,10,8.0,7.7,Good,2,71,1
101716,4.7,10,5.5,8.5,Good,3,75,1
101719,8.9,9,5.9,6.1,Fair,0,98,1
101736,4.9,10,5.3,9.3,Fair,2,100,1
101742,7.2,8,5.3,7.2,Fair,2,58,0
101744,6.5,10,7.8,8.0,Good,7,67,1
101755,5.6,8,6.3,7.7,Fair,1,100,1
101758,5.3,7,5.3,9.4,Good,3,98,1
101765,6.5,10,6.2,8.7,Poor,0,72,1
101769,4.9,5,7.1,7.3,Poor,5,98,1
101773,6.8,10,6.4,7.7,Poor,3,100,1
101780,7.4,10,1.5,7.3,Fair,0,98,1
101790,9.1,10,1.0,5.6,Fair,2,74,1
101792,5.7,9,6.0,5.2,Good,5,85,1
101808,8.1,7,4.4,7.5,Poor,6,100,1
101821,3.9,6,5.8,6.9,Good,4,86,1
101826,6.0,10,6.6,5.6,Good,3,97,1
101837,2.3,6,1.0,6.5,Good,5,93,1
101849,6.4,10,3.1,6.1,Poor,7,93,1
101863,8.7,8,9.8,6.8,Fair,7,83,1
101873,4.0,10,5.7,6.8,Fair,1,100,1
101878,10.0,10,6.4,10.6,Poor,5,79,1
101892,10.0,10,4.1,7.1,Good,0,78,1
101898,4.8,10,1.7,6.4,Fair,1,87,1
101906,4.2,5,7.0,7.8,Good,2,98,1
101908,3.7,10,5.9,7.6,Good,7,100,1
101916,5.0,5,7.3,7.9,Poor,3,99,1
101922,8.0,10,5.9,7.2,Fair,4,96,1
101924,7.1,9,5.5,8.5,Good,5,100,1
101930,6.1,6,6.1,5.9,Fair,3,98,1
101932,6.0,10,3.5,7.4,Fair,0,77,1
101933,9.2,10,4.0,7.1,Poor,3,71,1
101939,7.4,10,4.0,6.1,Good,0,78,1
101947,9.5,10,4.6,4.8,Good,7,93,1
101948,6.9,10,6.4,4.8,Poor,1,90,1
101952,5.3,10,3.5,5.5,Good,3,73,1
101955,4.2,10,2.4,8.0,Good,3,99,1
101958,9.2,10,2.5,6.0,Good,0,96,1
101971,6.5,10,4.4,8.7,Fair,1,79,1
101975,10.0,7,5.2,7.7,Fair,6,78,1
101989,6.9,8,1.8,6.4,Fair,4,98,1
101994,7.2,10,6.4,6.8,Good,0,82,1
101995,6.8,10,4.0,7.9,Good,5,80,1
102000,4.9,10,7.3,7.8,Fair,1,77,1
102002,5.9,10,4.7,6.4,Good,5,60,1
102003,6.3,9,6.6,6.6,Good,5,99,1
102006,3.3,7,2.5,9.0,Fair,0,100,1
102014,7.4,9,4.2,7.1,Fair,0,67,1
102015,9.4,7,5.4,8.3,Fair,4,100,1
102018,4.8,10,6.8,8.2,Good,1,74,1
102028,10.0,10,5.6,7.2,Poor,6,93,1
102033,8.0,6,3.7,6.2,Fair,6,100,1
102034,2.5,9,3.0,6.6,Good,5,93,1
102047,4.5,10,4.3,7.7,Good,5,100,1
102051,7.6,7,6.2,5.1,Good,0,95,1
102053,5.8,7,7.5,7.6,Good,3,84,1
102079,8.7,10,8.5,6.5,Fair,0,70,1
102093,6.2,8,3.3,7.0,Fair,0,100,1
102101,7.7,10,3.4,8.0,Good,2,90,1
102104,5.5,10,9.9,7.3,Good,6,100,1
102105,6.2,6,1.6,7.3,Good,0,100,1
102106,7.9,9,3.0,7.6,Fair,6,100,1
102111,6.5,10,6.6,8.4,Good,4,96,1
102116,5.6,9,3.2,5.4,Good,5,73,1
102136,5.5,10,5.6,7.4,Fair,3,78,1
102142,6.0,5,5.5,7.9,Good,5,86,1
102147,3.8,10,7.9,7.3,Good,2,72,1
102149,4.2,10,9.9,4.0,Good,0,48,0
102151,7.3,10,5.0,7.3,Good,2,100,1
102162,7.3,9,4.4,9.1,Good,6,94,1
102165,5.5,5,7.8,7.9,Good,0,100,1
102172,6.8,10,4.5,8.0,Good,3,100,1
102180,7.3,10,4.9,7.3,Good,3,100,1
102184,7.4,5,4.6,6.3,Good,3,100,1
102186,1.0,9,4.3,9.2,Good,0,99,1
102190,9.5,10,6.8,9.8,Poor,2,78,1
102197,7.3,10,3.1,4.0,Good,0,62,1
102200,6.5,10,5.1,6.7,Fair,7,90,1
102207,6.6,10,7.4,6.0,Fair,3,97,1
102215,9.2,10,4.3,7.9,Poor,5,97,1
102226,9.3,6,5.8,5.6,Fair,6,100,1
102236,4.6,10,3.4,6.7,Good,4,90,1
102252,5.2,9,3.5,7.2,Fair,2,100,1
102261,8.8,7,4.1,4.6,Good,5,80,1
102266,7.0,10,3.2,4.0,Fair,0,75,1
102272,5.9,10,4.5,7.9,Good,7,97,1
102278,6.2,9,3.9,6.2,Good,4,94,1
102281,8.1,10,1.2,6.5,Fair,1,97,1
102284,6.9,7,6.0,8.4,Fair,7,89,1
102288,9.6,5,6.5,6.9,Fair,6,92,1
102290,9.1,10,6.3,5.6,Poor,2,78,1
102292,6.7,10,3.9,7.0,Good,3,90,1
102293,10.0,10,5.7,6.8,Fair,4,73,1
102298,7.2,5,2.8,6.0,Good,2,98,1
102308,6.3,10,5.3,8.4,Good,2,100,1
102310,5.7,9,5.7,7.9,Fair,7,100,1
102316,6.6,6,5.2,8.7,Fair,3,85,1
102327,6.4,5,7.0,6.8,Good,5,100,1
102328,7.7,10,3.3,7.5,Fair,7,94,1
102330,5.3,10,5.2,5.9,Good,1,98,1
102331,5.5,10,6.7,7.8,Good,3,100,1
102332,3.8,10,4.4,6.6,Fair,6,100,1
102340,9.3,7,4.9,5.2,Good,4,100,1
102342,6.0,8,7.6,9.1,Fair,6,100,1
102346,8.1,9,4.0,6.3,Fair,1,96,1
102352,8.6,9,6.8,6.8,Poor,0,94,1
102358,6.2,10,7.4,6.2,Good,2,90,1
102359,6.8,7,4.9,6.9,Fair,2,100,1
102361,4.2,10,2.6,7.2,Good,7,98,1
102366,7.9,7,3.1,8.8,Good,1,97,1
102377,9.6,8,2.2,6.7,Fair,1,82,1
102391,5.9,10,4.7,5.7,Poor,1,89,1
102400,10.0,10,3.4,6.0,Good,3,55,0
102401,6.4,9,4.8,8.8,Fair,4,100,1
102403,7.0,10,8.0,6.3,Poor,3,97,1
102411,6.1,10,6.3,8.2,Good,7,96,1
102412,3.3,7,5.4,5.8,Good,6,100,1
102417,6.0,6,7.3,7.7,Fair,4,100,1
102422,7.6,9,4.0,7.9,Poor,4,97,1
102430,7.4,10,3.3,9.6,Fair,5,81,1
102446,6.1,10,1.0,6.9,Fair,0,100,1
102452,7.3,5,3.4,7.4,Poor,4,91,1
102455,7.1,10,5.4,6.2,Fair,5,100,1
102468,3.0,10,8.4,7.8,Good,6,84,1
102472,5.0,10,4.5,7.8,Fair,1,100,1
102491,2.5,8,4.0,8.8,Fair,2,100,1
102493,8.4,6,7.0,5.5,Good,6,100,1
102494,5.9,8,2.2,7.4,Good,4,94,1
102497,4.4,10,3.7,9.6,Fair,5,75,1
102500,4.1,10,6.0,9.8,Fair,3,96,1
102504,2.5,10,3.9,9.8,Fair,7,76,1
102515,5.9,10,4.1,6.9,Good,2,57,0
102526,6.5,10,3.9,6.1,Good,0,100,1
102530,7.5,7,6.3,7.9,Fair,1,93,1
102535,9.4,10,5.0,4.1,Fair,6,100,1
102536,8.4,10,3.4,6.0,Good,3,76,1
102540,6.6,9,6.0,7.3,Good,6,95,1
102541,7.2,7,6.0,6.5,Poor,1,100,1
102543,4.9,5,2.2,4.0,Good,3,99,1
102548,6.3,10,2.3,5.6,Poor,6,95,1
102551,7.9,6,3.2,4.0,Fair,0,70,1
102557,6.0,10,8.7,8.2,Poor,2,87,1
102565,4.2,6,9.3,9.1,Good,0,80,1
102573,6.6,7,6.9,7.0,Good,4,95,1
102574,5.4,8,6.2,8.1,Fair,4,98,1
102575,1.0,6,2.9,7.6,Good,5,93,1
102583,4.1,10,6.6,10.6,Good,7,99,1
102586,8.5,6,5.3,7.0,Fair,5,99,1
102587,6.2,6,5.5,7.3,Fair,7,80,1
102591,7.0,6,5.8,7.5,Good,5,100,1
102597,7.2,10,3.1,4.9,Poor,4,100,1
102605,7.3,5,5.3,8.5,Good,4,100,1
102606,6.9,5,3.1,5.3,Good,4,82,1
102607,8.9,10,3.2,7.0,Good,3,100,1
102614,6.1,8,5.5,8.0,Good,3,100,1
102615,5.8,10,1.3,7.6,Poor,1,73,1
102617,7.8,7,5.2,7.8,Good,2,95,1
102648,5.2,8,2.1,5.3,Good,2,72,1
102653,6.2,10,5.4,5.7,Good,6,100,1
102654,4.9,6,6.4,5.5,Good,3,80,1
102656,10.0,10,2.3,5.6,Fair,6,100,1
102664,6.5,10,4.6,8.0,Fair,1,57,0
102669,8.0,7,2.8,7.3,Good,7,98,1
102674,10.0,10,4.6,7.8,Good,3,78,1
102676,4.6,10,6.6,7.8,Poor,1,100,1
102687,7.8,10,3.5,6.0,Poor,3,100,1
102694,5.1,6,3.8,5.7,Good,1,82,1
102698,6.4,6,3.1,4.8,Poor,7,100,1
102705,6.6,10,6.5,7.0,Good,7,100,1
102707,6.9,10,6.5,5.2,Fair,7,97,1
102716,8.0,10,3.0,4.0,Fair,1,100,1
102719,4.2,10,3.8,8.5,Good,3,100,1
102720,6.8,6,6.5,7.3,Good,3,97,1
102735,8.3,10,5.2,6.4,Good,4,66,1
102739,6.9,10,3.3,7.3,Good,6,89,1
102741,7.2,6,4.9,6.5,Fair,7,79,1
102743,9.0,6,6.3,8.6,Fair,0,78,1
102749,6.8,10,5.8,7.1,Good,2,96,1
102755,5.6,8,4.8,6.1,Good,5,100,1
102759,7.7,7,6.1,4.0,Fair,7,93,1
102764,2.6,10,10.0,8.0,Good,3,91,1
102766,6.8,6,3.1,8.5,Poor,1,96,1
102771,3.4,5,3.3,4.8,Good,3,100,1
102781,7.1,10,7.4,4.9,Poor,5,96,1
102787,8.5,10,7.6,6.6,Good,4,100,1
102790,8.4,10,2.6,8.7,Good,3,100,1
102800,7.5,7,5.5,6.6,Good,5,95,1
102804,7.7,10,5.0,6.4,Fair,3,100,1
102807,6.2,5,5.5,5.7,Fair,1,90,1
102809,6.7,9,3.3,5.8,Fair,4,89,1
102818,7.1,6,1.3,8.7,Good,1,100,1
102819,6.8,6,6.0,7.0,Poor,7,91,1
102820,6.5,10,4.8,5.8,Good,5,87,1
102824,5.2,9,6.2,5.1,Good,6,94,1
102826,8.2,10,4.2,6.9,Fair,5,72,1
102828,4.8,10,4.1,8.5,Good,6,100,1
102837,6.2,10,5.6,5.5,Good,7,91,1
102841,6.0,5,5.5,8.0,Fair,4,100,1
102842,7.8,10,1.1,9.7,Poor,3,100,1
102847,4.7,7,2.5,9.5,Fair,4,100,1
102855,8.6,10,2.8,6.2,Fair,4,88,1
102857,7.9,6,8.1,8.5,Fair,7,80,1
102867,7.9,10,5.0,6.3,Poor,4,72,1
102872,7.6,6,4.0,7.8,Good,4,86,1
102886,6.9,10,3.1,5.8,Fair,5,100,1
102893,7.3,8,2.5,6.3,Fair,7,95,1
102895,7.9,10,6.3,8.3,Poor,2,58,0
102896,3.5,10,4.9,5.8,Good,6,97,1
102898,7.3,9,5.0,6.8,Good,5,100,1
102909,5.3,9,4.6,5.7,Good,7,63,1
102911,9.5,10,4.6,7.2,Good,5,92,1
102912,7.2,5,5.6,7.6,Good,2,100,1
102915,5.0,10,5.2,6.2,Fair,7,98,1
102918,5.0,5,5.0,4.2,Good,7,100,1
102934,4.9,10,5.6,4.0,Poor,7,100,1
102943,3.4,6,5.5,5.7,Good,0,94,1
102947,4.2,6,2.0,6.3,Fair,0,84,1
102949,7.699999999999999,10,8.6,7.6,Good,0,95,1
102973,7.2,10,5.5,7.1,Fair,0,100,1
102974,6.2,8,8.5,8.7,Fair,5,98,1
102976,8.1,10,6.0,7.6,Good,1,76,1
102977,4.6,10,5.5,6.9,Poor,7,100,1
102978,6.3,10,2.1,4.5,Good,7,79,1
102983,5.3,8,4.0,6.0,Good,1,82,1
102984,5.0,10,8.8,5.5,Fair,6,77,1
102992,7.8,5,6.0,9.1,Poor,4,100,1
102995,7.0,8,3.3,6.6,Fair,4,94,1
103000,9.1,7,5.3,8.0,Good,0,90,1
103003,7.1,10,6.6,5.4,Good,7,67,1
103008,7.2,5,6.0,10.6,Good,7,100,1
103009,4.5,10,3.7,4.8,Fair,5,61,1
103019,6.7,10,5.3,6.6,Fair,1,95,1
103028,7.0,10,1.0,6.8,Good,0,82,1
103031,8.9,10,6.1,5.2,Good,0,96,1
103035,9.0,10,6.9,7.6,Fair,6,74,1
103037,5.9,7,3.0,9.1,Fair,2,87,1
103043,6.6,9,5.2,8.2,Fair,5,92,1
103052,6.2,10,2.5,8.4,Good,7,93,1
103056,6.0,9,6.9,5.8,Good,1,94,1
103059,6.5,8,5.9,5.6,Good,2,100,1
103061,7.3,9,5.4,8.0,Fair,7,87,1
103062,3.4000000000000004,10,8.6,7.9,Good,3,100,1
103070,5.9,6,5.2,4.1,Good,2,94,1
103075,4.3,6,4.4,6.0,Good,0,97,1
103082,9.5,7,4.9,8.5,Good,3,96,1
103086,6.1,6,3.7,8.2,Fair,1,94,1
103093,6.5,6,3.0,6.8,Good,0,77,1
103097,5.5,6,3.7,7.5,Good,2,100,1
103115,5.9,6,3.8,6.6,Poor,0,86,1
103128,5.8,7,5.1,4.4,Good,2,80,1
103134,5.5,8,6.8,4.0,Good,4,55,0
