student_id,age,gender,major,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,previous_gpa,semester,stress_level,dropout_risk,social_activity,screen_time,study_environment,access_to_tutoring,family_income_range,parental_support_level,motivation_level,exam_anxiety_score,learning_style,time_management_score,exam_score
100136,18,Other,Computer Science,6.489753270404044,0.8,0.4,No,64.6,9.4,Good,3,PhD,Medium,6.7,No,4.0,2,5.7,No,3,8.1,Quiet Room,Yes,Medium,5,5,10,Kinesthetic,3.1,99
100145,18,Other,Computer Science,8.058998018890609,1.1,1.2,No,75.1,5.7,Poor,6,Bachelor,Medium,8.5,No,3.7,4,5.9,No,2,11.4,Quiet Room,No,High,10,10,5,Kinesthetic,3.5,87
100161,24,Other,Computer Science,5.557521811131731,3.0,1.3,No,98.8,7.3,Good,6,Some College,High,7.4,Yes,3.25,7,7.3,No,4,11.6,Cafe,Yes,Medium,7,6,9,Auditory,9.7,79
100163,20,Female,Computer Science,4.6501850186700535,0.8,1.1,Yes,81.4,7.4,Fair,0,PhD,Low,6.3,No,4.0,2,3.8,No,4,7.1,Co-Learning Group,Yes,Low,6,8,7,Auditory,1.9,97
100166,24,Female,Computer Science,6.203417066424679,1.7,3.5,Yes,61.6,8.1,Fair,5,PhD,High,5.5,Yes,4.0,6,6.6,No,3,12.7,Quiet Room,Yes,High,8,9,6,Visual,8.4,100
100171,24,Other,Computer Science,7.842455117113548,0.9,2.5,Yes,50.9,8.2,Good,1,High School,Medium,7.1,No,3.9,5,4.6,No,5,11.7,Quiet Room,Yes,High,8,9,6,Reading,1.7,92
100183,25,Female,Computer Science,2.930684991065026,2.0,2.6,No,96.7,6.5,Good,0,Master,Low,8.1,Yes,2.66,2,6.9,No,4,8.1,Co-Learning Group,No,Medium,1,4,10,Reading,8.7,61
100191,23,Other,Computer Science,0.4577148254524192,0.1,0.5,No,74.6,4.0,Good,3,PhD,Medium,4.9,No,3.71,8,6.4,No,3,2.8,Co-Learning Group,No,Low,5,6,9,Kinesthetic,3.9,88
100199,19,Other,Computer Science,1.5362152466406167,0.8,2.9,No,55.2,7.4,Good,1,Some College,Medium,3.5,Yes,2.99,4,8.2,No,1,6.7,Library,Yes,Medium,1,4,10,Kinesthetic,9.8,83
100202,24,Male,Computer Science,5.038026062443537,1.9,0.7,No,86.6,6.5,Fair,5,High School,High,6.8,No,4.0,3,2.6,No,2,7.7,Cafe,No,High,9,7,8,Auditory,2.7,100
100204,26,Female,Computer Science,5.316933325423417,2.6,2.9,Yes,96.7,7.3,Good,1,High School,Medium,10.0,No,4.0,8,3.8,No,1,12.5,Library,No,Low,4,9,6,Auditory,4.5,98
100208,27,Other,Computer Science,6.979792502650184,2.2,3.7,Yes,84.9,9.2,Good,3,High School,Low,10.0,No,4.0,5,2.6,No,1,13.1,Quiet Room,Yes,High,7,1,10,Reading,3.7,98
100214,27,Male,Computer Science,10.275878278999722,0.3,1.0,No,96.6,8.6,Good,0,Some College,Low,8.2,No,4.0,6,2.1,No,5,12.4,Quiet Room,No,Low,6,7,8,Kinesthetic,6.9,100
100216,18,Female,Computer Science,7.172896035120191,4.8,1.2,Yes,49.1,4.8,Fair,4,Some College,High,5.3,No,4.0,2,3.3,No,1,14.7,Co-Learning Group,Yes,Low,1,10,5,Auditory,6.6,100
100232,28,Other,Computer Science,2.3102159020788484,2.3,0.9,Yes,94.8,7.8,Fair,4,Bachelor,Low,4.1,Yes,3.54,8,2.5,No,3,6.0,Cafe,No,Medium,8,8,7,Visual,1.3,91
100235,25,Other,Computer Science,3.1056616819017884,4.4,1.2,Yes,95.1,8.0,Good,4,Bachelor,Medium,8.2,No,4.0,3,5.0,No,2,10.3,Co-Learning Group,No,Low,10,1,10,Kinesthetic,6.5,96
100239,24,Other,Computer Science,6.978527133247132,2.3,2.1,No,65.3,7.3,Good,5,Bachelor,High,6.3,Yes,4.0,4,8.7,Yes,4,12.3,Co-Learning Group,No,Medium,3,1,10,Reading,7.3,100
100258,22,Male,Computer Science,5.697999203595827,2.5,0.3,Yes,97.0,10.4,Poor,6,Bachelor,Medium,9.3,No,3.92,8,6.2,No,4,10.0,Dorm,No,Low,2,1,10,Auditory,5.3,91
100259,27,Other,Computer Science,5.464295787393317,3.2,3.4,No,71.9,7.3,Fair,5,Bachelor,Low,3.5,Yes,4.0,8,4.7,No,2,12.2,Library,No,High,10,9,6,Visual,6.2,95
100274,16,Male,Computer Science,8.741844979505059,4.7,1.4,Yes,70.3,7.7,Poor,3,PhD,Low,6.5,Yes,4.0,4,7.4,No,4,15.2,Dorm,No,Low,9,4,10,Auditory,7.4,100
100275,16,Other,Computer Science,4.934742153844404,4.9,1.7,No,46.8,8.6,Good,6,High School,Medium,8.1,No,4.0,4,6.4,No,0,12.6,Dorm,Yes,Medium,2,9,6,Reading,2.2,98
100277,26,Other,Computer Science,4.625290315541831,4.9,0.3,Yes,52.0,5.1,Good,5,Master,High,7.5,No,3.85,2,9.3,No,5,11.8,Dorm,No,Low,4,7,8,Reading,7.5,95
100281,21,Male,Computer Science,2.225153000215117,1.9,1.7,Yes,61.1,9.3,Good,6,Some College,High,2.0,No,3.63,1,1.4,No,1,7.8,Quiet Room,No,Low,5,10,5,Reading,1.8,86
100293,18,Other,Computer Science,5.646052326723462,4.1,1.1,No,47.8,8.7,Good,6,PhD,Low,7.9,No,2.96,1,3.6,No,2,12.3,Cafe,No,Low,5,4,10,Auditory,4.8,77
100299,25,Other,Computer Science,9.697033463188696,0.6,3.5,Yes,59.4,7.5,Poor,4,High School,High,5.6,No,3.69,6,3.7,No,3,15.4,Dorm,No,High,10,7,8,Auditory,1.8,92
100304,22,Other,Computer Science,3.70509159765229,3.3,3.0,No,77.1,5.4,Good,4,Bachelor,Low,7.4,Yes,3.23,1,3.2,No,0,11.5,Library,Yes,High,7,5,10,Visual,1.8,76
100305,27,Male,Computer Science,7.23858253502037,0.4,3.1,No,41.3,10.4,Poor,6,Some College,Medium,8.9,Yes,3.96,4,5.7,No,4,11.0,Cafe,Yes,High,8,8,7,Auditory,5.2,91
100310,28,Female,Computer Science,2.6109857705357555,0.8,1.2,Yes,84.0,6.9,Poor,7,Bachelor,Low,4.0,Yes,4.0,2,5.5,No,0,5.5,Cafe,Yes,Medium,3,2,10,Kinesthetic,8.6,93
100322,20,Female,Computer Science,3.049357055985044,1.3,1.3,Yes,69.1,7.4,Fair,1,Some College,Medium,7.9,Yes,4.0,1,2.9,No,5,6.8,Quiet Room,Yes,Low,5,9,6,Auditory,9.7,100
100331,17,Male,Computer Science,5.05220314335016,4.2,1.6,Yes,54.0,9.4,Good,6,PhD,Low,5.2,No,3.62,8,6.9,No,5,12.1,Cafe,No,Low,8,7,8,Visual,5.2,91
100335,16,Female,Computer Science,4.785686392431772,3.8,0.2,No,57.0,9.5,Fair,3,Bachelor,Low,3.6,Yes,3.47,2,6.1,No,1,8.8,Library,Yes,High,3,6,9,Auditory,8.6,90
100336,20,Male,Computer Science,4.809487770291792,3.3,3.8,No,92.7,7.2,Poor,6,Some College,Low,8.3,Yes,3.71,3,4.3,No,5,13.9,Dorm,No,Low,4,4,10,Reading,5.8,96
100344,26,Other,Computer Science,2.891105273045864,4.9,0.5,Yes,63.3,7.5,Good,1,Some College,Low,5.1,No,3.95,8,2.1,No,2,9.1,Cafe,Yes,Low,4,5,10,Auditory,4.9,100
100348,23,Female,Computer Science,6.270589095640896,0.1,0.4,Yes,50.1,6.3,Good,6,High School,Medium,10.0,No,4.0,2,2.4,No,5,7.4,Library,Yes,High,5,3,10,Auditory,5.0,91
100361,17,Female,Computer Science,6.3851943528116095,3.8,0.0,Yes,79.9,8.4,Good,0,High School,Medium,5.9,No,4.0,7,4.6,No,3,10.7,Cafe,Yes,Low,4,9,6,Reading,8.1,100
100377,20,Male,Computer Science,6.306549553489886,4.1,2.0,Yes,73.1,7.1,Good,4,High School,Low,6.6,No,4.0,7,5.6,No,1,13.5,Co-Learning Group,Yes,Low,6,7,8,Kinesthetic,2.6,100
100396,26,Other,Computer Science,0.8418350264520229,4.6,0.1,Yes,61.2,6.2,Fair,2,Master,Low,9.2,Yes,2.8,1,5.5,No,2,6.4,Quiet Room,No,High,2,8,7,Auditory,2.5,69
100398,28,Male,Computer Science,2.076339246917009,4.1,0.5,Yes,48.7,7.3,Fair,4,Some College,Medium,8.1,No,4.0,3,4.0,No,3,7.5,Cafe,Yes,Low,7,6,9,Kinesthetic,3.9,100
100400,18,Male,Computer Science,7.871819601441486,4.6,1.0,No,84.8,6.9,Poor,0,Some College,Medium,6.0,Yes,4.0,6,4.5,No,4,15.1,Quiet Room,No,Medium,1,7,8,Visual,4.3,100
100411,17,Male,Computer Science,2.714104903263184,4.5,0.7,No,60.5,8.7,Good,6,Some College,High,3.4,Yes,4.0,5,5.2,No,3,8.0,Co-Learning Group,No,Low,6,7,8,Auditory,5.3,100
100415,17,Other,Computer Science,2.032635537294374,1.4,1.7,Yes,73.1,6.6,Poor,7,Master,High,6.2,No,4.0,7,8.3,No,1,5.6,Cafe,Yes,Low,6,8,7,Visual,4.7,100
100425,19,Male,Computer Science,6.701430679312905,3.0,0.9,No,78.6,5.3,Good,0,High School,Medium,9.6,Yes,4.0,8,1.6,No,4,10.6,Cafe,No,Medium,5,3,10,Visual,8.6,100
100427,16,Male,Computer Science,4.388016720050273,3.6,3.2,Yes,96.0,4.0,Good,0,Bachelor,High,9.6,Yes,3.09,1,3.2,No,4,12.8,Quiet Room,No,Low,2,1,10,Reading,9.5,74
100431,21,Female,Computer Science,3.1337395046141525,2.2,1.5,No,83.9,8.5,Fair,6,Bachelor,Low,6.2,No,3.89,2,4.3,No,0,6.9,Co-Learning Group,Yes,Low,7,3,10,Kinesthetic,6.3,100
100433,27,Male,Computer Science,4.387344412000145,4.5,0.6,No,65.7,4.2,Poor,7,Bachelor,Low,5.0,No,3.64,3,3.0,No,1,9.5,Cafe,Yes,Low,3,1,10,Visual,6.3,93
100434,23,Male,Computer Science,5.403892617942292,1.7,2.0,No,79.8,6.6,Fair,4,Master,Low,5.9,Yes,3.24,1,4.5,No,5,9.8,Co-Learning Group,Yes,Low,6,5,10,Kinesthetic,7.4,79
100441,23,Male,Computer Science,6.381467900355108,1.7,0.2,No,82.1,5.7,Good,0,PhD,High,8.3,Yes,3.93,1,3.9,No,5,9.8,Library,No,High,8,3,10,Reading,3.0,100
100448,26,Other,Computer Science,5.764491157769897,1.7,2.7,Yes,51.4,6.3,Fair,7,Master,Medium,6.5,Yes,4.0,4,4.7,No,3,12.1,Co-Learning Group,Yes,High,6,6,9,Auditory,6.6,94
100453,25,Male,Computer Science,3.3141258832042477,3.0,3.6,Yes,76.4,8.4,Fair,2,High School,Low,10.0,Yes,3.79,4,2.2,No,5,11.9,Co-Learning Group,Yes,High,2,2,10,Auditory,3.3,96
100468,24,Male,Computer Science,4.347879773163536,2.1,1.8,Yes,57.7,5.8,Poor,7,High School,Low,4.8,Yes,4.0,1,7.5,No,0,8.5,Library,No,Medium,7,8,7,Reading,3.4,100
100474,16,Other,Computer Science,5.310463392452133,2.7,3.9,Yes,91.6,5.0,Fair,6,Some College,High,5.2,No,2.96,7,6.1,No,0,13.6,Library,No,Medium,6,7,8,Visual,2.9,75
100475,28,Other,Computer Science,4.772411634684131,1.2,1.1,No,79.3,6.1,Poor,6,Bachelor,Medium,6.5,Yes,2.73,7,5.2,No,4,7.3,Cafe,Yes,Low,2,2,10,Visual,5.5,72
100476,25,Male,Computer Science,4.3740497399785045,1.0,1.1,Yes,62.6,7.4,Fair,7,Some College,Medium,5.3,No,3.44,7,7.9,No,3,7.8,Co-Learning Group,No,Medium,9,5,10,Auditory,5.4,86
100481,18,Female,Computer Science,6.394714567520527,3.1,2.4,No,60.7,8.2,Poor,3,Some College,High,7.5,Yes,4.0,1,1.0,No,3,12.0,Dorm,Yes,Medium,5,7,8,Reading,6.3,100
100484,21,Other,Computer Science,3.088965055723034,3.4,2.2,Yes,50.7,7.2,Good,5,Master,Medium,7.7,No,3.81,4,4.0,No,1,9.6,Co-Learning Group,Yes,High,6,7,8,Auditory,2.9,93
100499,26,Female,Computer Science,6.935982699957602,3.0,1.4,Yes,54.9,7.6,Poor,6,High School,Medium,2.0,No,4.0,5,10.0,No,5,11.4,Dorm,No,Low,3,8,7,Reading,4.9,100
100508,24,Other,Computer Science,4.732322568312464,3.4,3.5,Yes,44.2,8.1,Fair,6,Bachelor,High,6.1,Yes,3.62,6,4.4,No,5,13.6,Co-Learning Group,No,High,9,2,10,Visual,7.4,90
100513,25,Other,Computer Science,1.5074165021419357,1.4,3.8,Yes,98.2,7.1,Poor,1,PhD,Medium,7.0,No,2.95,4,4.8,No,5,8.4,Library,Yes,High,4,4,10,Auditory,3.3,65
100514,23,Male,Computer Science,5.803133587036647,2.6,0.2,No,67.9,5.5,Good,7,High School,High,3.4,Yes,3.84,5,5.6,No,0,9.1,Cafe,Yes,Medium,2,4,10,Visual,5.3,94
100517,18,Male,Computer Science,5.3847463198010725,4.6,0.8,Yes,49.4,7.5,Good,5,Some College,Medium,4.0,No,3.94,4,7.6,No,3,12.1,Co-Learning Group,No,Low,10,3,10,Kinesthetic,3.9,93
100523,17,Other,Computer Science,3.773083562903965,3.4,3.3,Yes,79.0,4.7,Poor,2,PhD,High,1.4,Yes,3.46,2,6.5,No,2,11.4,Cafe,No,Medium,8,9,6,Visual,8.0,84
100529,28,Male,Computer Science,2.42191356957758,0.1,0.1,Yes,42.1,7.4,Good,7,Master,High,8.1,No,3.13,8,4.8,No,0,2.7,Co-Learning Group,No,Low,9,7,8,Auditory,7.9,85
100530,21,Male,Computer Science,8.936727200749635,0.7,2.4,Yes,68.6,5.1,Good,4,Bachelor,Medium,7.7,Yes,4.0,7,1.0,No,5,13.3,Co-Learning Group,No,Low,6,9,6,Visual,4.3,99
100537,19,Female,Computer Science,4.77231731974964,1.0,0.6,No,40.6,8.5,Poor,5,Bachelor,Low,7.2,Yes,4.0,4,2.9,No,4,6.9,Cafe,No,High,2,10,5,Reading,5.2,93
100555,16,Other,Computer Science,5.925394255549947,4.4,3.0,No,70.5,5.1,Good,2,High School,Medium,6.6,No,3.42,1,3.1,No,1,14.4,Library,Yes,Low,2,8,7,Reading,9.5,85
100558,18,Female,Computer Science,4.08480678451255,1.4,3.4,No,63.7,5.5,Good,1,Some College,High,8.1,Yes,3.77,3,4.0,No,0,9.4,Co-Learning Group,No,Low,9,8,7,Visual,2.8,87
100559,17,Male,Computer Science,3.4383463318851497,2.2,3.1,Yes,86.1,5.5,Good,3,High School,Low,7.5,Yes,2.96,7,6.0,No,1,10.1,Dorm,Yes,High,1,3,10,Auditory,4.1,76
100566,17,Male,Computer Science,5.013011855688407,4.2,1.5,No,68.5,6.7,Good,7,Bachelor,Medium,6.1,Yes,3.9,1,7.7,No,4,12.5,Library,No,Medium,2,9,6,Auditory,2.4,100
100572,28,Other,Computer Science,6.318254401917695,0.5,1.7,Yes,43.0,5.4,Poor,3,Bachelor,High,3.3,Yes,4.0,2,1.6,No,1,9.9,Library,Yes,High,9,4,10,Kinesthetic,5.3,99
100585,19,Female,Computer Science,3.455963076906879,3.4,0.1,Yes,41.4,7.3,Good,7,Master,Low,5.5,Yes,3.32,1,4.1,No,3,8.5,Quiet Room,Yes,High,2,1,10,Auditory,2.8,83
100594,24,Other,Computer Science,5.334899734625071,0.6,2.9,Yes,71.4,7.2,Good,6,Some College,High,4.8,No,4.0,2,6.3,No,3,10.4,Quiet Room,Yes,High,6,7,8,Auditory,7.2,100
100599,20,Male,Computer Science,6.799123080686823,2.4,0.0,No,86.3,8.5,Poor,2,Some College,High,5.9,No,4.0,5,4.3,No,0,10.8,Library,Yes,Low,6,10,5,Kinesthetic,8.6,100
100601,19,Male,Computer Science,6.045918892125166,2.8,1.9,Yes,74.9,5.9,Poor,2,High School,High,6.6,Yes,3.36,1,7.8,No,4,12.7,Cafe,Yes,Low,4,3,10,Visual,3.7,91
100602,28,Male,Computer Science,8.80122529129357,0.9,1.9,Yes,50.3,7.3,Good,1,PhD,Medium,5.8,No,4.0,5,2.8,No,0,12.6,Library,Yes,Low,3,3,10,Visual,8.7,95
100625,21,Female,Computer Science,3.649450060986812,1.4,2.4,Yes,75.9,4.9,Good,2,High School,Medium,7.5,No,3.59,5,3.2,No,3,7.8,Quiet Room,No,Low,2,2,10,Auditory,8.2,87
100638,23,Male,Computer Science,4.8151701752991,2.3,0.5,Yes,75.6,4.0,Fair,1,PhD,Medium,6.8,No,2.86,6,6.9,No,4,7.8,Quiet Room,No,High,6,2,10,Reading,6.6,71
100639,22,Female,Computer Science,4.553036760394782,1.7,1.6,Yes,44.5,9.4,Fair,5,Bachelor,High,7.1,No,3.95,2,6.0,No,1,8.0,Dorm,Yes,Medium,1,1,10,Auditory,9.8,100
100647,23,Male,Computer Science,0.0,3.6,2.1,No,91.7,7.8,Good,4,Bachelor,High,4.7,No,4.0,4,3.7,No,2,7.1,Quiet Room,Yes,High,7,1,10,Auditory,1.6,99
100653,18,Female,Computer Science,4.908439724405247,1.1,3.3,No,93.2,9.7,Poor,5,PhD,Low,5.6,Yes,4.0,3,5.2,No,3,9.8,Cafe,Yes,High,10,4,10,Auditory,9.6,100
100658,24,Other,Computer Science,4.699211648470559,0.0,1.0,No,78.2,5.4,Poor,5,PhD,High,5.0,No,3.34,6,3.5,No,1,6.2,Co-Learning Group,Yes,Medium,9,3,10,Visual,4.6,84
100661,24,Other,Computer Science,7.919074684961908,1.5,0.7,No,64.5,7.6,Poor,4,Some College,High,10.0,Yes,3.77,7,5.8,No,2,11.3,Co-Learning Group,Yes,Medium,3,6,9,Kinesthetic,7.5,97
100662,28,Female,Computer Science,3.850292967063672,3.8,3.5,Yes,87.3,10.1,Good,6,Bachelor,High,2.5,No,3.66,8,8.0,No,2,11.2,Quiet Room,No,Medium,9,3,10,Visual,3.6,94
100680,17,Female,Computer Science,5.837241689359141,4.8,1.3,No,52.2,9.1,Good,2,Master,Low,8.2,Yes,3.79,7,4.6,No,1,13.4,Cafe,Yes,Low,8,9,6,Visual,9.3,98
100681,26,Male,Computer Science,5.013294428434552,3.3,0.5,Yes,62.6,5.4,Fair,5,Master,Low,4.1,No,4.0,3,6.8,No,1,9.8,Co-Learning Group,Yes,Low,9,5,10,Visual,3.8,96
100682,25,Female,Computer Science,3.0529001223780776,2.3,2.7,No,68.2,9.0,Poor,6,Some College,Low,6.4,No,3.44,3,2.6,No,1,9.7,Library,Yes,Medium,8,9,6,Visual,2.5,88
100691,24,Other,Computer Science,2.8866017917770166,3.8,2.9,No,94.8,6.8,Fair,2,Some College,Low,2.5,Yes,3.17,6,8.7,No,4,11.5,Library,No,High,3,7,8,Auditory,9.5,69
100702,23,Male,Computer Science,4.555396085847574,4.8,3.8,Yes,50.9,8.1,Poor,5,PhD,High,8.7,Yes,4.0,8,1.0,No,5,15.0,Quiet Room,No,High,4,7,8,Kinesthetic,8.9,89
100704,20,Male,Computer Science,5.193271904042562,3.0,3.4,No,51.2,5.2,Fair,0,High School,High,7.2,No,4.0,6,4.4,No,3,12.8,Co-Learning Group,No,Low,1,6,9,Kinesthetic,3.2,98
100715,16,Other,Computer Science,6.012572730733777,1.1,1.8,Yes,69.3,6.9,Fair,1,High School,Low,5.4,Yes,3.24,2,5.3,No,4,9.5,Dorm,Yes,High,1,9,6,Kinesthetic,1.9,73
100716,16,Other,Computer Science,2.601666444886498,0.3,2.9,Yes,88.8,5.1,Fair,0,PhD,Low,7.2,No,2.59,6,6.1,No,1,6.5,Cafe,Yes,Medium,8,5,10,Auditory,2.8,64
100718,22,Male,Computer Science,4.757580888121,1.3,1.7,Yes,77.6,7.4,Poor,5,High School,High,6.5,Yes,4.0,6,4.4,No,0,8.0,Cafe,Yes,Low,1,8,7,Visual,6.3,99
100722,26,Other,Computer Science,3.7715624653768183,3.0,3.5,Yes,94.0,6.4,Good,7,High School,Medium,6.4,Yes,4.0,5,2.0,No,4,11.8,Co-Learning Group,Yes,Medium,1,9,6,Reading,5.5,92
100727,24,Female,Computer Science,5.106630957687029,2.7,0.5,Yes,56.0,8.3,Fair,3,PhD,High,6.0,Yes,3.56,7,2.0,No,1,9.3,Library,No,Low,10,1,10,Reading,8.9,80
100748,21,Other,Computer Science,5.68237942459813,1.9,3.3,Yes,66.3,7.3,Poor,6,High School,Medium,4.8,Yes,3.65,1,6.7,No,0,12.8,Cafe,Yes,High,1,7,8,Kinesthetic,4.9,87
100757,19,Male,Computer Science,9.756425685480616,3.5,4.0,Yes,73.7,7.2,Fair,4,Bachelor,High,8.8,No,4.0,8,5.2,No,3,17.4,Cafe,No,Low,3,10,5,Auditory,5.7,100
100764,16,Female,Computer Science,0.8082969899711275,2.9,1.5,Yes,80.0,8.9,Good,3,High School,High,6.9,Yes,4.0,8,6.5,No,5,5.3,Co-Learning Group,No,Low,7,5,10,Auditory,9.6,96
100771,25,Male,Computer Science,5.006119200445209,0.9,2.8,Yes,44.1,7.4,Good,2,PhD,Low,7.9,Yes,4.0,8,4.6,No,3,9.0,Quiet Room,No,Low,9,10,5,Reading,9.2,100
100773,25,Male,Computer Science,4.010991740720217,0.3,0.4,Yes,83.3,7.6,Fair,2,High School,High,9.2,No,4.0,7,3.0,No,1,5.7,Dorm,Yes,Low,3,9,6,Auditory,2.9,100
100776,16,Other,Computer Science,1.8959538043372723,2.7,0.5,Yes,79.1,6.9,Good,0,High School,Medium,7.5,No,4.0,6,7.1,No,1,5.2,Co-Learning Group,No,Medium,2,8,7,Visual,3.7,100
100786,24,Female,Computer Science,6.439124379279175,0.9,3.6,No,55.6,6.6,Good,7,Master,Medium,7.1,Yes,4.0,5,4.0,No,3,12.0,Library,Yes,Low,2,8,7,Visual,2.7,93
100791,23,Female,Computer Science,1.8207931694723007,2.5,0.6,No,42.3,6.1,Poor,6,High School,Medium,5.3,Yes,4.0,1,3.7,No,4,6.6,Co-Learning Group,Yes,Low,7,2,10,Auditory,4.2,95
100808,26,Male,Computer Science,4.958032733174004,3.9,2.2,Yes,82.6,8.2,Good,5,PhD,High,3.7,No,4.0,5,7.4,No,3,11.1,Library,No,Medium,7,10,5,Visual,9.6,93
100809,23,Female,Computer Science,5.155165755960203,2.7,3.2,No,49.8,6.2,Good,0,PhD,Medium,9.6,Yes,4.0,8,2.7,No,1,11.8,Cafe,Yes,Medium,7,7,8,Reading,4.0,100
100817,20,Female,Computer Science,1.0103243951512977,1.9,2.7,No,44.3,5.8,Good,5,Bachelor,Medium,4.8,No,3.6,5,6.4,No,5,7.1,Library,Yes,Low,8,8,7,Kinesthetic,3.3,92
